LOTS_PER_TRADE,ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,REWARD_TO_RISK,SCORE
1,50,50,100,2,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,100,1,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,200,1,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,150,2,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,10,1,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,10,1,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,10,1,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,200,2,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,175,2,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,150,1,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,125,2,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,150,2,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,150,2,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,150,2,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,150,2,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,150,1,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,25,1,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,25,1,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,10,2,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,10,2,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,10,2,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,125,2,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,125,1,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,50,2,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,50,2,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,50,1,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,50,1,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,50,1,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,25,2,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,10,2,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,25,2,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,200,2,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,10,2,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,10,2,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,10,1,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,10,1,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
